source,value,color
Hydropower,4369.055,#6798DE
Wind,1588.31871,#3699B1
Solar,835.67396,#EC866D
Bioenergy,568.5536500000001,#a1785c
Geothermal,95.44469000000001,#EA666D
Marine,0.98512,#73B067
