source,value,color
Hydropower,4253.382820000001,#6798DE
Wind,1412.63571,#3699B1
Solar,689.8911999999999,#EC866D
Bioenergy,545.16823,#a1785c
Geothermal,92.00102000000001,#EA666D
Marine,0.99603,#73B067
