source,value,color
Hydropower,4330.10689,#6798DE
Wind,2098.33216,#3699B1
Solar,1294.47019,#EC866D
Bioenergy,618.9158199999999,#a1785c
Geothermal,96.87835000000001,#EA666D
Marine,0.9567899999999999,#73B067
