source,value,color
Solar,560.0246999999999,#EC866D
Wind,1258.92598,#3699B1
Hydropower,4208.48336,#6798DE
Marine,1.0224199999999999,#73B067
Bioenergy,515.83726,#a1785c
Geothermal,89.46419,#EA666D
